v1,v2,v3,v4,v5,v6
-1.8448,1.254,0.27218,-1.0728,-1.9785,-1.7111
-2.2625,-0.099335,2.8127,0.48662,-1.6851,-2.8399
0.94732,-0.57113,7.1903,-0.67587,2.471,-0.5764
-1.4275,11.8797,0.41613,-6.9978,-3.1262,0.2712
-0.60975,-4.002,1.8471,0.6017,0.36,-1.5795
2.3164,-2.628,3.1529,-0.08622,3.3412,1.2916
0.96574,8.393,-1.361,-1.4659,-0.5654,2.4969
-0.71868,-5.7154,3.8298,1.0233,0.9046,-2.342
4.5707,7.2094,-3.2794,-1.4944,2.8334,6.308
0.11806,0.39108,-0.98223,0.42843,-0.137,0.3732
1.5514,3.8013,-4.9143,-3.7483,-0.0017,3.1045
-1.5055,0.070346,6.8681,-0.50648,-0.1424,-2.8686
-3.2692,-12.7406,15.5573,-0.14182,1.7534,-8.2918
-3.8203,-13.0551,16.9583,-2.3052,1.5296,-9.1702
1.934,-9.2828e-06,4.816,-0.33967,2.8972,0.9708
2.8969,0.70768,2.29,1.8663,3.2487,2.5451
-6.7387,6.9879,0.67833,-7.5887,-7.6512,-5.8262
3.966,3.9213,0.70574,0.33662,3.519,4.413
1.9476,-4.7738,8.527,-1.8668,4.3691,-0.4739
3.8027,0.81529,2.1041,1.0245,4.1012,3.5042
2.0193,0.82356,4.6369,1.4202,2.8231,1.2155
-3.3582,-7.2404,11.4419,-0.57113,0.0162,-6.7326
1.8216,-6.4748,8.0514,-0.41855,4.4031,-0.7599
-2.2173,1.4671,-0.72689,-1.1724,-2.5827,-1.8519
3.4359,0.66216,2.1041,1.8922,3.7574,3.1144
-0.56877,1.4174,-1.4252,-1.1246,-1.0664,-0.0711
-2.234,-7.0314,7.4936,0.61334,0.3194,-4.7874
0.49665,5.527,1.7785,-0.47156,0.0233,0.97
-3.7503,-13.4586,17.5932,-2.7771,1.7871,-9.2877
0.98296,3.4226,-3.9692,-1.7116,-0.3243,2.2902
4.8451,8.1116,-2.9512,-1.4724,3.0381,6.6521
2.6463,-4.8152,6.3549,0.003003,4.6396,0.653
1.602,6.1251,0.52924,0.47886,0.7891,2.4149
-6.3364,9.2848,0.014275,-6.7844,-7.7263,-4.9465
-0.53072,-0.097265,-0.21793,1.0426,-0.5597,-0.5017
3.6941,-3.9482,4.2625,1.1577,5.1388,2.2494
3.3669,-5.1856,3.6935,-1.1427,4.8834,1.8504
-0.91718,9.9884,1.1804,-5.2263,-2.1794,0.345
1.0194,1.1029,-2.3,0.59395,0.394,1.6448
3.5761,9.7753,-3.9795,-3.4638,1.3139,5.8383
0.72252,-0.053811,5.6703,-1.3509,1.8647,-0.4196
-0.50816,2.868,-1.8108,-2.2612,-1.3005,0.2842
0.60731,3.9544,-4.772,-4.4853,-0.9403,2.1549
3.4667,-4.0724,4.2882,1.5418,4.9352,1.9982
-2.9662,-10.3257,8.784,-2.1138,0.3395,-6.2719
-1.8343,-6.5907,5.6429,0.54998,0.2829,-3.9515
4.8077,2.2327,-0.26334,1.5534,4.4201,5.1953
-2.0659,1.0512,-0.46298,-1.0974,-2.3162,-1.8156
5.0297,-4.9704,3.5025,-0.23751,6.4758,3.5836
1.6032,-4.7863,8.5193,-2.1203,4.025,-0.8186
0.518,0.25865,-0.84085,0.96118,0.311,0.725
-1.7599,11.9211,2.6756,-3.3241,-3.0129,-0.5069
0.81356,9.1566,-2.1492,-4.1814,-0.9898,2.6169
-0.36038,4.1158,3.1143,-0.37199,-0.3549,-0.3659
0.52374,3.644,-4.0746,-1.9909,-0.8378,1.8853
-1.5851,-2.1562,1.7082,0.9017,-0.92,-2.2502
0.33565,6.8369,0.69718,-0.55691,-0.5504,1.2217
-0.69078,-0.50077,-0.35417,0.47498,-0.6865,-0.6951
3.9899,-2.7066,2.3946,0.86291,4.8748,3.105
5.3063,5.2684,-2.8904,-0.52716,3.938,6.6746
1.3049,-0.15521,6.4911,-0.75346,2.6264,-0.0166
3.245,6.63,-0.63435,0.86937,2.1236,4.3664
-0.0068919,9.2931,-0.41243,-1.9638,-1.4833,1.4696
2.6104,8.0081,-0.23592,-1.7608,1.362,3.8588
2.7161,-4.2006,4.1914,0.16981,4.1845,1.2477
-0.53966,7.3273,0.46583,-1.4543,-1.5456,0.4663
-3.5359,0.30417,0.6569,-0.2957,-3.4501,-3.6217
0.4283,-0.94981,-1.0731,0.3211,0.3562,0.5004
3.7522,-3.6978,3.9943,1.3051,5.1057,2.3987
-0.023579,7.1742,0.78457,-0.75734,-0.9428,0.8956
-1.6677,-7.1535,7.8929,0.96765,0.9839,-4.3193
-1.7589,-6.4624,8.4773,0.31981,0.9059,-4.4237
-2.9672,-13.2869,13.4727,-2.6271,1.7204,-7.6548
-1.2667,2.8183,-2.426,-1.8862,-2.1746,-0.3588
2.9163,10.8306,-3.3437,-4.122,0.623,5.2096
-6.0598,9.2952,-0.43642,-6.3694,-7.5414,-4.5782
0.21431,-0.69529,0.87711,0.29653,0.494,-0.0654
1.1644,3.8095,-4.9408,-4.0909,-0.3952,2.724
2.7744,6.8576,-1.0671,0.075416,1.5323,4.0165
0.65497,5.1815,1.0673,-0.42113,0.0912,1.2187
0.64376,3.764,-4.4738,-4.0483,-0.8156,2.1031
2.7206,9.0821,-3.3111,-0.96811,0.6961,4.7451
-1.9116,-6.1603,5.606,0.48533,0.1336,-3.9568
-1.6988,-7.1163,5.7902,0.16723,0.5267,-3.9243
5.0617,-0.35799,0.44698,0.99868,5.2048,4.9186
3.3577,-4.3062,6.0241,0.18274,5.2084,1.5069
-2.3147,3.6668,-0.6969,-1.2474,-3.0041,-1.6253
1.9572,-5.1153,8.6127,-1.4297,4.447,-0.5326
1.8373,6.1292,0.84027,0.55257,1.086,2.5886
-3.5713,-12.4922,14.8881,-0.47027,1.2801,-8.4228
-3.3884,-8.215,10.3315,0.98187,-0.0898,-6.687
1.0284,9.767,-1.3687,-1.7853,-0.7104,2.7672
-0.2062,9.2207,-3.7044,-6.8103,-2.3302,1.9178
-2.5346,-0.77392,3.3602,0.00171,-1.7465,-3.3227
1.5701,7.9129,0.29018,-2.1953,0.4412,2.699
-0.55355,-7.9233,6.7156,0.74394,1.9781,-3.0852
-1.4427,3.2922,-1.9702,-3.4392,-2.3306,-0.5548
0.26517,2.4066,-2.8416,-0.59958,-0.6641,1.1945
2.9742,8.96,-2.9024,-1.0379,1.0497,4.8987
0.32924,-4.4552,4.5718,-0.9888,1.9119,-1.2534
-3.7747,2.5162,0.83341,-0.30993,-3.9854,-3.564
-1.3,10.2678,-2.953,-5.8638,-3.4308,0.8308
-1.7063,2.7956,-2.378,-2.3491,-2.6012,-0.8114
-0.78689,9.5663,-3.7867,-7.5034,-2.9792,1.4054
1.8314,6.3672,-0.036278,0.049554,0.8691,2.7937
-1.3274,9.498,2.4408,-5.2689,-2.2639,-0.3909
5.2423,11.0272,-4.353,-4.1013,2.7176,7.767
-0.39816,5.9781,1.3912,-1.1621,-1.0166,0.2203
-1.1022,-5.8395,4.5641,0.68705,0.6865,-2.8909
-3.5895,-6.572,10.5251,-0.16381,-0.4987,-6.6803
2.2279,4.0951,-4.8037,-2.1112,0.6529,3.8029
-6.651,6.7934,0.68604,-7.5887,-7.5328,-5.7692
3.9121,2.9735,0.92852,0.60558,3.6518,4.1724
-3.1158,-8.6289,10.4403,0.97153,0.2666,-6.4982
-0.4294,-0.14693,0.044265,-0.15605,-0.3985,-0.4603
-2.4941,3.5447,-1.3721,-2.8483,-3.3002,-1.688
-3.8053,2.4273,0.6809,-1.0871,-4.0332,-3.5774
-1.6706,-2.09,1.584,0.71162,-1.0403,-2.3009
1.2309,3.8923,-4.8277,-4.0069,-0.3185,2.7803
2.6562,10.7044,-3.3085,-4.0767,0.3888,4.9236
0.11686,3.735,-4.4379,-4.3741,-1.331,1.5647
0.86202,2.6963,4.2908,0.54739,1.3157,0.4083
2.5503,-4.9518,6.3729,-0.41596,4.5677,0.5329
3.7321,-3.884,3.3577,-0.0060486,4.9862,2.478
-0.12196,8.8068,0.94566,-4.2267,-1.2538,1.0099
4.0215,-2.1914,2.4648,1.1409,4.8432,3.1998
-4.0218,-8.304,12.555,-1.5099,-0.2652,-7.7784
3.5189,6.332,-1.7791,-0.020273,2.2133,4.8245
1.1166,8.6496,-0.96252,-1.8112,-0.3733,2.6065
0.5734,9.1938,-0.9094,-1.872,-0.9875,2.1344
-1.2424,-1.7175,-0.52553,-0.21036,-1.0899,-1.3949
2.5328,7.528,-0.41929,-2.6478,1.3197,3.7459
2.2596,-0.033118,4.7355,-0.2776,3.2117,1.3075
-4.3667,6.0692,0.57208,-5.4668,-5.1627,-3.5707
0.91315,3.3377,-4.0557,-1.6741,-0.3986,2.2249
4.8906,-3.3584,3.4202,1.0905,6.0784,3.7028
3.5358,6.7086,-0.81857,0.47886,2.3658,4.7058
3.4769,-0.15314,2.53,2.4495,4.0059,2.9479
